省份	province	城市	City	邮编/postalcode	区号
吉林	Jilin	靖宇	Jingyu	135200	0439
吉林	Jilin	长白	Changbai	134400	0439
吉林	Jilin	抚松	Fusong	134500	0439
吉林	Jilin	江源	Jiangyuan	134700	0439
吉林	Jilin	珲春	Huichun	133300	0440
吉林	Jilin	梅河口	Meihekou	135000	0448
吉林	Jilin	柳河	Liuhe	135300	0448
吉林	Jilin	辉南	Huinan	135100	0448
黑龙江	Heilongjiang	哈尔滨	Haerbin	150000	0451
黑龙江	Heilongjiang	阿城	Acheng	150300	0451
黑龙江	Heilongjiang	通河	Tonghe	150900	0451
黑龙江	Heilongjiang	方正	Fangzheng	150800	0451
黑龙江	Heilongjiang	尚志	Shangzhi	150600	0451
黑龙江	Heilongjiang	延寿	Yanshou	150700	0451
黑龙江	Heilongjiang	双成	Shuangcheng	150100	0451
黑龙江	Heilongjiang	肇东	Zhaodong	151100	0451
黑龙江	Heilongjiang	宾县	Binxian	150400	0451
黑龙江	Heilongjiang	木兰	Mulan	151900	0451
黑龙江	Heilongjiang	五常	Wuchang	150200	0451
黑龙江	Heilongjiang	巴彦	Bayan	151800	0451
黑龙江	Heilongjiang	呼兰	Hulan	150500	0451
黑龙江	Heilongjiang	齐齐哈尔	Qiqihaer	161000	0452
黑龙江	Heilongjiang	克山	Keshan	161600	0452
黑龙江	Heilongjiang	拜泉	Baiquan	164700	0452
黑龙江	Heilongjiang	依安	Yian	161500	0452
黑龙江	Heilongjiang	龙江	Longjiang	161100	0452
黑龙江	Heilongjiang	讷河	Nehe	161300	0452
黑龙江	Heilongjiang	甘南	Gannan	162100	0452
黑龙江	Heilongjiang	富裕	Fuyu	161200	0452
黑龙江	Heilongjiang	克东	Kedong	164800	0452
黑龙江	Heilongjiang	泰来	Tailai	162400	0452
黑龙江	Heilongjiang	牡丹江	Mudanjiang	157000	0453
黑龙江	Heilongjiang	林口	Linkou	157600	0453
黑龙江	Heilongjiang	穆棱	Muling	157500	0453
黑龙江	Heilongjiang	东宁	Dongning	157200	0453
黑龙江	Heilongjiang	海林	Linhai	157100	0453
黑龙江	Heilongjiang	宁安	Ningan	157400	0453
